"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for December 2021",,,,,,,,,,,,,,,,,,,,,
Prepared at 16:02 UTC on Wednesday 16 February 2022   IDCJDW5081.202112,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
"The official site for Adelaide, having reopened in May 2017.",,,,,,,,,,,,,,,,,,,,,
"This is the official"" site for Adelaide","having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020.""",,,,,,,,,,,,,,,,,,,,
Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2021-12-1,19.1,32.0,0,,,NNW,26,10:09,25.4,37,,WSW,9,1011.1,29.6,34,,WNW,13,1010.7
,2021-12-2,15.7,24.8,0,,,SW,43,16:28,22.2,60,,W,4,1014.1,21.4,50,,SW,22,1016.1
,2021-12-3,11.9,21.9,0,,,SW,37,16:41,18.0,52,,E,9,1021.7,20.7,47,,SW,20,1020.1
,2021-12-4,9.9,22.7,0,,,WSW,43,14:10,17.2,50,,SE,13,1023.5,20.9,48,,WSW,24,1021.4
,2021-12-5,12.1,25.2,0,,,WSW,31,12:18,17.6,51,,W,7,1020.8,23.1,42,,SW,17,1016.4
,2021-12-6,13.2,25.8,0,,,W,35,12:50,21.7,37,,NW,4,1012.6,23.1,38,,SW,19,1011.3
,2021-12-7,13.0,20.4,0.6,,,WSW,44,13:02,16.4,61,,S,13,1016.6,19.2,35,,SW,24,1016.9
,2021-12-8,11.3,20.0,0,,,S,41,14:30,14.7,50,,ESE,11,1022.2,17.9,33,,S,20,1021.1
,2021-12-9,11.2,20.4,0,,,S,39,14:01,14.8,51,,SSE,15,1022.2,19.0,40,,S,22,1020.4
,2021-12-10,11.4,23.7,0,,,SSE,31,18:33,16.4,46,,SE,13,1020.7,22.5,34,,SSE,15,1017.2
,2021-12-11,11.3,28.0,0,,,WSW,26,12:21,19.1,48,,NNE,11,1017.2,26.5,29,,SW,17,1014.3
,2021-12-12,17.7,34.9,0,,,WNW,31,10:55,27.5,24,,NE,11,1012.3,33.7,12,,W,17,1009.8
,2021-12-13,16.9,20.5,0,,,SW,33,08:57,20.4,66,,WSW,11,1012.4,18.6,73,,WSW,11,1014.3
,2021-12-14,11.2,26.2,0.6,,,SSW,39,15:03,18.7,56,,ESE,6,1014.6,24.3,44,,SW,19,1011.1
,2021-12-15,15.1,28.8,0.2,,,WSW,31,11:15,18.6,58,,SSW,6,1014.4,28.0,28,,SE,13,1013.8
,2021-12-16,13.5,29.7,0.2,,,W,28,14:44,22.3,43,,NNE,9,1016.3,29.1,23,,SW,11,1014.3
,2021-12-17,15.2,38.6,0,,,N,41,12:03,28.7,21,,NE,17,1009.2,35.3,13,,NW,17,1003.7
,2021-12-18,18.0,29.2,0,,,N,39,23:29,21.7,57,,NW,4,1010.9,26.8,31,,SW,13,1007.9
,2021-12-19,17.2,21.7,0.2,,,SW,54,09:54,19.6,67,,WSW,17,1009.2,20.8,44,,WSW,26,1012.2
,2021-12-20,10.8,23.7,0,,,WNW,28,11:29,17.5,58,,WSW,15,1018.9,23.3,43,,WSW,13,1017.4
,2021-12-21,12.8,24.7,0,,,WSW,30,17:08,19.2,63,,WSW,6,1016.8,24.1,41,,SW,15,1014.7
,2021-12-22,12.8,29.7,0,,,W,35,12:01,19.2,58,,NNW,7,1014.9,24.6,45,,WSW,19,1012.3
,2021-12-23,12.4,30.0,0,,,WSW,33,14:48,20.3,49,, ,Calm,1014.2,28.3,34,,WSW,19,1011.7
,2021-12-24,14.4,28.5,0,,,S,37,21:40,23.2,47,,WNW,2,1013.1,26.3,42,,WSW,20,1012.0
,2021-12-25,14.9,26.8,0,,,S,39,17:17,18.7,61,,SSE,17,1017.4,26.0,42,,S,17,1015.8
,2021-12-26,13.6,23.9,0,,,S,39,02:16,18.0,52,,SE,13,1021.4,22.1,41,,SSE,19,1019.4
,2021-12-27,12.0,24.1,0,,,SSE,41,17:22,16.5,50,,SE,20,1022.0,23.4,37,,SE,17,1018.6
,2021-12-28,12.4,28.1,0,,,SSE,37,00:13,17.8,52,,NW,11,1018.7,26.3,27,,SE,15,1014.7
,2021-12-29,17.5,34.4,0,,,SE,37,00:46,26.5,39,,WSW,2,1014.6,32.4,22,,SSE,13,1012.1
,2021-12-30,24.4,37.6,0,,,E,39,03:01,28.3,34,,SW,2,1012.4,36.5,14,,WSW,17,1009.6
,2021-12-31,21.0,39.3,0,,,WNW,43,12:08,31.0,17,,N,15,1009.1,37.9,13,,WNW,24,1006.2
