"Daily Weather Observations for Adelaide (West Terrace / Ngayirdapira), South Australia for January 2022",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:02 UTC on Monday 14 February 2022   IDCJDW5081.202201,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
"The official site for Adelaide, having reopened in May 2017.",,,,,,,,,,,,,,,,,,,,,
"This is the official"" site for Adelaide","having reopened in May 2017. Observations are available from the Kent Town site {station number 023090} up until 31 July 2020.""",,,,,,,,,,,,,,,,,,,,
Observations were drawn from Adelaide (West Terrace / Ngayirdapira) {station 023000},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,2022-01-1,22.5,33.6,0,,,SW,30,15:39,28.2,32,,ESE,11,1008.1,32.0,25,,WSW,9,1007.4
,2022-01-2,19.3,30.6,0,,,SW,35,14:01,26.6,46,,SSW,7,1008.7,28.0,44,,WSW,20,1009.2
,2022-01-3,14.1,25.9,0,,,S,37,17:41,19.8,48,,ESE,11,1014.2,24.5,35,,S,20,1012.7
,2022-01-4,14.2,24.4,0,,,SE,41,12:00,17.6,50,,SSE,15,1015.9,22.4,37,,SSE,17,1014.1
,2022-01-5,14.4,21.5,0,,,S,37,13:23,17.6,71,,S,15,1014.8,19.1,64,,S,19,1013.1
,2022-01-6,15.8,22.3,0,,,SW,39,19:32,18.0,86,,SW,11,1009.5,21.6,66,,WSW,20,1008.5
,2022-01-7,16.6,21.0,1.6,,,SW,43,15:40,17.4,86,,SSW,13,1012.7,20.2,77,,SW,20,1013.7
,2022-01-8,16.0,24.4,1.6,,,SW,31,14:35,18.0,81,,S,11,1015.9,21.3,65,,SW,17,1014.8
,2022-01-9,11.7,31.7,0,,,WNW,24,13:00,19.8,64,,WSW,6,1014.7,30.9,28,,SW,11,1011.6
,2022-01-10,19.8,37.0,0,,,E,52,22:43,31.3,21,,NE,15,1012.8,34.7,18,,WSW,17,1012.3
,2022-01-11,27.2,40.3,0,,,E,50,00:32,30.4,32,,NNE,9,1013.6,38.2,20,,ENE,13,1012.6
,2022-01-12,19.2,28.9,0,,,WSW,30,15:35,23.9,73,,W,9,1014.8,27.2,60,,WSW,15,1012.4
,2022-01-13,17.6,25.2,0,,,WSW,28,12:29,19.5,64,,W,11,1012.6,24.3,45,,W,11,1009.2
,2022-01-14,17.8,23.8,0,,,WSW,30,17:20,19.0,77,,WSW,11,1006.0,22.0,63,,WSW,20,1006.0
,2022-01-15,14.5,26.7,0,,,WSW,30,14:44,19.6,68,,N,6,1008.0,25.7,53,,WSW,17,1006.2
,2022-01-16,16.9,28.6,0,,,SW,33,15:30,26.0,44,,SSE,4,1006.4,26.2,48,,SW,13,1006.6
,2022-01-17,16.4,25.6,0,,,SW,35,13:34,20.4,64,,S,7,1013.6,24.3,52,,SW,20,1012.1
,2022-01-18,15.1,25.0,0,,,SE,43,20:00,18.1,54,,SE,9,1016.9,23.7,34,,SE,19,1015.0
,2022-01-19,14.2,29.8,0,,,ESE,50,23:43,19.5,49,,ESE,9,1018.7,28.2,28,,SE,9,1016.4
,2022-01-20,18.9,35.1,0,,,NE,50,10:20,27.0,44,,ENE,20,1019.9,32.7,18,,ENE,24,1017.4
,2022-01-21,25.7,33.7,0,,,NE,44,10:36,27.9,37,,NE,17,1018.4,32.9,31,,NE,17,1015.4
,2022-01-22,22.8,26.3,0.6,,,ENE,44,09:06,25.9,46,,ENE,19,1013.9,22.7,84,,NNE,11,1013.9
,2022-01-23,21.1,25.9,22.8,,,NE,37,17:29,23.9,67,,ENE,15,1010.3,21.4,89,,NNE,6,1008.9
,2022-01-24,20.5,30.1,17.0,,,NNE,35,11:23,25.3,58,,NE,9,1005.4,29.5,49,,NE,20,1003.1
,2022-01-25,24.2,31.7,0.2,,,SW,30,15:25,29.0,52,,NW,4,1004.7,29.7,57,,SW,17,1003.9
,2022-01-26,21.8,34.1,0,,,SW,26,11:30,25.1,74,,NNW,6,1005.5,31.7,39,,E,4,1003.7
,2022-01-27,22.0,34.4,14.2,,,N,33,23:27,28.4,59,,N,7,1004.2,33.4,38,,W,17,1003.9
,2022-01-28,21.7,26.8,0.2,,,SW,44,16:08,22.5,75,,SSW,11,1010.5,25.4,53,,SW,20,1011.4
,2022-01-29,18.0,28.5,0,,,SSE,35,14:52,21.7,59,,SE,17,1016.2,27.5,43,,SE,13,1014.7
,2022-01-30,17.4,32.8,0,,,W,28,13:44,23.4,59,, ,Calm,1013.6,30.7,41,,WSW,19,1010.5
,2022-01-31,18.7,35.2,0,,,WSW,31,15:02,25.3,55,, ,Calm,1007.3,32.5,31,,WSW,11,1003.5
